Document,Class
igual proposito inspirar mujeres podemos hacer guste hacer hacerlo ropa comoda ropa bonita declarar junta ma creo puede percibir toda colecciones sacan,inspirado_por
necesariamente toda promocionan gran campaa envian ciertas prendas influencers ma sigue linea linea grafica sentimientos emociones percibes trave ropa toda colecciones,inspirado_por
diria si decidi ah inspira sino ver cifras creo algun momento ponian cifras genus sentimiento indignacion rabia toda cifras desarrollo mujer especialmente pais peru ponen cifras alentadoras motivadoras tratan sacar relucir igual puede generar algun cambio control momento verlo surgio,inspirado_por
hizo reflexionar casi siempre veo contenido cuentas instagram sigo entonces tema bastante presente empoderamiento mujer,inspirado_por
entonces pienso inspiracional persona comunes utilizan persona comunes grandes deportistas obviamente esperas si utilizas zapatillas va jugar asi,inspirado_por
bueno cuanto deporte pensaria persona pueden lograr hacer viene mente ejemplo si jugando basquet algun deportista importante pueda hacer cuanto deporte,inspirado_por
pienso puede ser inspiracion grandes deportistas cuanto tecnologia,inspirado_por
pienso medio sesga presente persona logrado tal cosa instintivamente sientes impulso esforzarte ma entonces pensaria involuntariamente,inspirado_por
ma marcas si sido parte publicidades comerciales entretenidos alto presupuesto siento inspiran mensajes dan just do it recuerdo bastante comerciales mundial cristiano ronaldo estrellas decian demuestralo cosas asi,inspirado_por
si diria si tan solo verlo piensas alguien admiras diga mira automaticamente da ganas comprar parecido,inspirado_por
practica deporte siempre admira mejores entonces buscar parecido ah mira zapatillas roonie messi buscar parecido distancias amateur,inspirado_por
entonces ejemplo nike dice just do it hazlo entonces alguna forma inspira,inspirado_por
siento nike visto full video salen corriendo alcanzar metas si marca inspira adidas,inspirado_por
si claro hecho creo f recuerda si hacer dice oye gente pone esfuerzo metas ganas hacer ejercicio hazlo,inspirado_por
hace nike saco campaa aca peru acuerdo si peru mundo mujeres parecio bien chevere sent identificada parecio bien out of the box creo lograron objetivo,inspirado_por
si ver acuerdo campaa hicieron acerca mujer giraba torno mujer empoderamiento mujer lado identifique hecho cada vez dan importancia mujer mujer puede hacer cosas increibles igual hombre etcetera identifique pienso mismo mujer veces subestima puede hacer mujer lado sent identificada,inspirado_por
repente campaa nike mujeres bailaban cierta cancion entonces bailar sientes libre expresas sientes,inspirado_por
creo solo hazlo tangibilizacion final si toda historia narra comercial justamente puedes identificar ciertos personajes ciertos momentos si visto comerciales sale serena williams sale molesta rabiosa acaba perder luego f sigue practicando justamente proceso inspiracion solo hazlo llamada final accion,inspirado_por
quizas pueda controlar si alguna u manera inspira siento identificada entonces creo alguna u manera tomar decisiones quizas alguna manera consciente manera inconsciente personalidad diga oye si visto frustrada visto luego practicando cosas salen ahi siento inspirada asi,inspirado_por
creo siempre admirado trayectoria general bailarin persona deportista famoso ejemplo justamente trayectoria encuentras puntos dice conoces inspiran,inspirado_por
genero comercial visto reconocimiento persona haciendo rescato aprendido ser empatica cosas persona reconocen bien trayectoria,inspirado_por
visto comerciales ejemplo mezclado solo mezclan deportistas conocidos sino tratan hacerlo persona ven naturales tipo dia dia balance bueno tema empoderamiento mujer verdaderamente hacerlo callar demas quizas creen parte nike,inspirado_por
spot bien bonito nike dice usualmente creemos grandeza ciertas persona verdad hecho puedas tener practica alguna u manera ser mejor cada dia menos saber direccion realmente lleva grandeza,inspirado_por
spot bien bonito nike dice usualmente creemos grandeza ciertas persona verdad hecho puedas tener practica alguna u manera ser mejor cada dia menos saber direccion realmente lleva grandeza bueno termina solo hazlo,inspirado_por
inspira comerciales inspiracion considero constante mantenga tiempo disciplina realmente lleva alcanzar resultados inspiracion quizas dice puedes llegar,inspirado_por
identifico comentarios escuchado familia amigo mujeres relegadas costado alguna u manera esperabas alcanzar puesto alto reconocimiento alto menos pasado favorecido algun modo justamente f comerciales dice pasamos mismos pasos incluso aparte soportar,inspirado_por
nike uso just do it visto par comerciales clases marketing creo si basicamente lema dice cualquiera puede hacerlo atrevas lance puedas llegar grande ser deportista calificado puedas hacer deporte entonces despues ver piezas publicitarias inspirada nike,inspirado_por
just do it piezas publicitarias comentaba f persona tan comunes logrando cosas si da cuenta llegas inspirarte inspirado,inspirado_por
recuerdo piezas comentando usualmente ponen clases marketing asi persona decian just do it decia ser deportista clasificado hacer deporte cualquier deportista puede salir,inspirado_por
ponian comerciales piezas campaa persona contextura atletica resto comerciales persona comunes corrientes llegas sentir tan bien identificado creo probablemente sentimiento podias sentirte identificado finalmente decia hazlo puedes,inspirado_por
corrido altura chaski challenge corrido relativamente provincias provincias creo diferente perspectiva retos complejo arduo dificil acceder alimentos calidad entrenamiento entonces siento historia tema superacion si inspira bastante tantas limitantes logrado consolidarse atleta nivel calibre entonces llega impactar bastante trabajo continuo hecho llevado trabajar nike,inspirado_por
nivel macro nike siempre slogan just do it incentivar actividad entonces inspiracion simplemente incentivo,inspirado_por
visto bastante publicidad forzada objetivo imagino dentro objetivo publicidad sido caso si bastante involuntario hecho di cuenta lima bastantes ventajas corremos altura nivel mar acceso diferentes tipos cosas recuperarnos luego carrera muchas cosas,inspirado_por
si hecho sorprendio bastante apoyen deporte nacional cuestionado tiempo empresas apoyaban deporte creo nuevo concepto nike menos intentando nuevo tiempo apoyar campeones cambio adidas ejemplo cada vez pienso adidas veo ningun corredor simplemente veo cristal marca unica relacion adidas deporte,inspirado_por
ejemplo slogan nike interesantes impossible is nothing toda campaa hicieron jugador futbol americano colin kaepernick respecto diferentes ayudas campaas discriminacion racismo,inspirado_por
va mano ver video inspiracionales youtube redes justo salian video motivacionales inspiracion atletas justamente llevaban marca nike bueno diferentes campaas final dicen dejan cabeza imposible ayudado bastante inspirado justamente marca deportiva ser alguien mejor,inspirado_por
puedo decir surgio inspiracion queria vida sedentaria gustaba veia queria cambio creo sido involuntario final trataba buscar video inspirarme basicamente,inspirado_por
totalmente final ensea puedes ser alguien mejor solamente aspecto salud detras ejercicios actividades cierto sacrificio hecho levantarte temprano comer comida chatarra final motivacion inclina tema hacer deporte puede ir actividades hecho realizar tarea trabajo universidad sientes bajoneado final dice si puedo hacer aca habilidad recursos capacidades poder realizar actividad ver deporte motiva demasiado,inspirado_por
ademas veo closet veo logo veo ropa deportiva digo pucha hacer deporte quiero ir estilo vida si motivaba comprar,inspirado_por
ver campaas dia mujer nike olimpiadas eventos deportivos realidad visto campaas siempre lloro veo siempre termino llorando parece mensaje bonito motivan siempre dar mejor seguir adelante verdad veo campaas dan ganas ponerme ropa deporte salir correr,inspirado_por
ultimo vi nike voz serena williams salia collage monton mujeres diferentes rubros daban mensaje mujeres pueden hacer quieren solo demuestra capaz termine ver comercial llore realmente puse ropa deporte sali correr broma hizo sentir motivada realmente hizo sentir podium hacer,inspirado_por
creo mensaje muestran voy decir ropa uso inspiro mensaje transmitiendo hacerme sentir realmente podium hacerlo fuente inspiracion viene mensaje si sido selena williams u deportista sido mismo peso doy mensaje,inspirado_por
comercial viene mente hizo nike mundial mujeres comercial divertido nia mano jugadora ahi nia corria futbolista toda cancha vi parecio super chevere hizo llorar parecio super divertido instintivamente decia ala quiero jugar futbol creo si mensaje va ser peso da,inspirado_por
veces dia dia olvidas cosas personalmente veo campaa asi realmente hace acordar gusta sentir puedo hacer cualquier cosa si propongo,inspirado_por
si toda maneras hace acordar poder mujeres realmente hacer quisieramos podemos importar opinion creo mensaje grande llevo dia dia puede ser olvide viendo campaas hace acordar importante,inspirado_por
veo ah bueno fan bts grupo koreano si conoces veces hacen diseos marcas colaboracion usando ropa nike entonces jugando tenis deporte veia chevere recorde pequea jugaba tenis,inspirado_por
comence ver video clip hablo clip instagram publicidad bastante motivador ver mujeres haciendo deporte casa sent pegado realidad puedes ver persona salen correr maraton diferente encerrado saber empezar entonces creo,inspirado_por
bueno inicio control simplemente haciendo scroll vi publicidad dije ah mira mostro lejos pensar nike ver grupo mujeres haciendo actividad dije pucha puedo hacer casa bien mira buena motivacion empezar,inspirado_por
creo caso tema superficial va ah mirala inspira mujer hace millon ejercicios cambio sino tema pucha toma conciencia hagas deporte,inspirado_por
pregunta complicada deporte futbol entonces probablemente usaria moda inspiracion tan fuerte realmente inspirado bastante referentes deportistas tan fuerte verdad,inspirado_por
si quizas hacer negocio zapatillas hecho ahora ejemplo ahorita unidos amigo quieren modelos unicos solo venden aca venden peru entonces digo oye consigo pagas dolares llevartelos nunca va conseguir peru entonces veo idea negocio modelos venden alla llevan importan tipo modelos probablemente puede ser idea saltado publicidad bueno venden solas zapatillas nike necesario use tanta publicidad,inspirado_por
realidad nike linea urbana describirlo siempre campaas ahora ultimo lanzo ejemplo basicamente apoyar deporte sino apoyar equipo gusto algun momento sent identificada,inspirado_por
ultima sent identificada basicamente comercial daba entender pese situacion covid pasando muchas actividades frenaron arte cultura deporte dio pena algun momento sent frustracion tal vez poder seguir meta deportiva vea frenado u obstaculizada manera entonces pese vio frustrado solamente apoyar deporte sino equipo basicamente sentirse aun pesar pasando aun sigan siendo familia,inspirado_por
coyuntura afectando area deporte parte experiencia casa padre consecuencias partir covid frenaba frenaba experiencia empatice vio reflejada comercial,inspirado_por
practicaba softball baseball mujeres entonces tema lesion rodilla deje aos entonces ahi hice deporte nunca ma luego empece ver comerciales dije hacer tema salud lado tema empoderamiento mujer,inspirado_por
persona pateaba hacia futbol iba pateaba termine movimiento aparece imagen persona haciendo movimiento patada completandola contexto diferente gustaba combinaban acciones cotidianas deportes totalmente diferentes daba cuenta practicamente mismo movimiento hacemos mismo diferentes contextos cuestion motive haga,inspirado_por
temas ejercicios puedo hacer tema rodilla pueda hacer sentadillas etc si puedo mantenerme activa alguna forma hago entonces cositas gustaron hecho podamos hacer mismo dentro diferentes contextos bueno voy meterme cuarto pongo audifonos ahi misma,inspirado_por
ma centrarte ropa claramente veia ve bien ver bien colores bien runner ve chevere obviamente ahi va bien arreglado ropa deportiva diferente vayas entrenar gente ropa holgada ropa nota practica recurrentemente cierta manera ropa termina influyendo desempeo motivacion hacia actividad,inspirado_por
considero ropa influye bastante imagen proyectas puedo pasar malecon veo persona implementos denotan afan hacer deporte practico socio club voy club alli puedes distinguir bueno estereotipo correlacion directa alto porcentaje bien vestidos generalmente deportistas,inspirado_por
creo veces inculcan valores campaas basan cierto concepto ejemplo si quieres transmitir perseverancia transmites etica entonces conceptos siento terminan influyendo,inspirado_por
verdad recuerdo vi video tomando curso llama rethinking marketing caso persona discapacidad entonces hizo reflexionar existe mundo incluidos mercado normalmente vende f letreros enormes persona normales incluyendo persona discapacidad hizo reflexionar darme cuenta pocas marcas traen anuncios persona discapacidad,inspirado_por
creo experiencia marca toda vida mensaje vi persona imagen mensaje escrito,inspirado_por
pequea usado marca costumbre familia marca presentaron gusto sentia iba conmigo estilo marca calidad buena duraban toda vida conmigo actividades realizaba diario ejercicio entonces sentia marca dia dia,inspirado_por
creo sencillo hacer ejercicio hacer salud creo mensaje principal marca lado nike just do it hazlo siento mensaje llega hazlo estudiar hazlo aos creo tipo motivacion,inspirado_por
diria marca creeria simplemente bueno caso hablando nike marca utilizo ver check simbolo marca linkeado inmediatamente mensaje campaas visto largo vida general,inspirado_por
inspira comerciales seguir proceso saber serena williams interior ahi simplemente seguir practicando resultados lindos celebrar bonito reconocer victoria dia dia,inspirado_por
creo mensaje muestran voy decir ropa uso inspiro mensaje transmitiendo hacerme sentir realmente podium hacerlo obviamente trave imagenes f atletas usando nike creo inconscientemente ligas mensaje marca proxima vez compro ropa fijo nike,inspirado_por
aparte hacer ejercicio constante gustado participar profesionalmente alguno dio idea,inspirado_por
bueno despues revise pagina web tienda virtual ahi veces muestran fotos persona usan productos entonces ahi vi ahora tratando ser inclusivos entonces persona tipo cuerpos necesariamente igual deportistas entonces dije bueno parece bien marca trabajando si despues momento dije si pueda ser pueda involucrarme nuevo deporte,inspirado_por
